msoa_code,msoa_name,nte_businesses_2017,pub_workplaces_2017,licensed_food_2017,clubs_2017,cim_nightlife_poi_count,cim_grassroots_music_count,cim_nightclub_count,cim_cultural_poi_count,cim_lgbt_venue_count,activity_index,support_index
E02000345,Hackney 001,,5.0,285.0,15.0,,,,,,0.03125,0.1289923526765632
E02000636,Lambeth 019,,5.0,295.0,15.0,,,,,,0.03125,0.13304093567251463
E02000642,Lambeth 025,,5.0,295.0,15.0,,,,,,0.03125,0.13304093567251463
E02000159,Bromley 033,,5.0,200.0,20.0,,,,,,0.03125,0.12235717498875394
E02000162,Bromley 036,,5.0,200.0,20.0,,,,,,0.03125,0.12235717498875394
E02000163,Bromley 037,,5.0,200.0,20.0,,,,,,0.03125,0.12235717498875394
E02000170,Camden 005,,5.0,600.0,20.0,,,,,,0.03125,0.28430049482681063
E02000615,Kingston upon Thames 018,,5.0,120.0,10.0,,,,,,0.03125,0.03441295546558704
E02000731,Newham 018,,5.0,125.0,10.0,,,,,,0.03125,0.03643724696356275
E02000679,Lewisham 027,,5.0,130.0,15.0,,,,,,0.03125,0.06623931623931624
E02000736,Newham 023,,5.0,125.0,10.0,,,,,,0.03125,0.03643724696356275
E02000743,Newham 030,,5.0,125.0,10.0,,,,,,0.03125,0.03643724696356275
E02000744,Newham 031,,5.0,125.0,10.0,,,,,,0.03125,0.03643724696356275
E02000693,Merton 005,,5.0,120.0,10.0,,,,,,0.03125,0.03441295546558704
E02000681,Lewisham 029,,5.0,130.0,15.0,,,,,,0.03125,0.06623931623931624
E02000148,Bromley 022,,5.0,200.0,20.0,,,,,,0.03125,0.12235717498875394
E02000694,Merton 006,,5.0,120.0,10.0,,,,,,0.03125,0.03441295546558704
E02000798,Richmond upon Thames 015,,5.0,195.0,15.0,,,,,,0.03125,0.09255510571300045
E02000654,Lewisham 002,,5.0,130.0,15.0,,,,,1.0,0.03125,0.04415954415954416
E02000847,Sutton 008,,5.0,95.0,10.0,,,,,,0.03125,0.024291497975708502
E02000845,Sutton 006,,5.0,95.0,10.0,,,,,,0.03125,0.024291497975708502
E02000580,Kensington and Chelsea 004,,5.0,400.0,20.0,,,,,,0.03125,0.20332883490778228
E02000179,Camden 014,,5.0,600.0,20.0,,,,,,0.03125,0.28430049482681063
E02000174,Camden 009,,5.0,600.0,20.0,,,,,,0.03125,0.28430049482681063
E02000178,Camden 013,,5.0,600.0,20.0,,,,,,0.03125,0.28430049482681063
E02000600,Kingston upon Thames 003,,5.0,120.0,10.0,,,,,,0.03125,0.03441295546558704
E02000631,Lambeth 014,,5.0,295.0,15.0,,,,,,0.03125,0.13304093567251463
E02000829,Southwark 023,,5.0,295.0,15.0,,,,,,0.03125,0.13304093567251463
E02000801,Richmond upon Thames 018,,5.0,195.0,15.0,,,,,,0.03125,0.09255510571300045
E02000906,Waltham Forest 012,,5.0,135.0,15.0,,,,,,0.03125,0.06826360773729195
E02000802,Richmond upon Thames 019,,5.0,195.0,15.0,,,,,,0.03125,0.09255510571300045
E02000827,Southwark 021,,15.0,295.0,15.0,1.0,,1.0,,,0.03125,0.08869395711500976
E02000849,Sutton 010,,5.0,95.0,10.0,,,,,,0.03125,0.024291497975708502
E02000194,Croydon 001,,5.0,205.0,25.0,,,,,,0.03125,0.15215924426450742
E02000201,Croydon 008,,5.0,205.0,25.0,,,,,,0.03125,0.15215924426450742
E02000156,Bromley 030,,5.0,200.0,20.0,,,,,,0.03125,0.12235717498875394
E02000583,Kensington and Chelsea 007,,5.0,400.0,20.0,,,,,,0.03125,0.20332883490778228
E02000155,Bromley 029,,5.0,200.0,20.0,,,,,,0.03125,0.12235717498875394
E02000154,Bromley 028,,5.0,200.0,20.0,,,,,,0.03125,0.12235717498875394
E02000222,Croydon 029,,5.0,205.0,25.0,,,,,,0.03125,0.15215924426450742
E02000582,Kensington and Chelsea 006,,5.0,400.0,20.0,,,,,,0.03125,0.20332883490778228
E02000219,Croydon 026,,5.0,205.0,25.0,,,,,,0.03125,0.15215924426450742
E02000213,Croydon 020,,5.0,205.0,25.0,,,,,,0.03125,0.15215924426450742
E02000533,Hounslow 008,,5.0,150.0,20.0,,,,,,0.03125,0.10211426000899684
E02000532,Hounslow 007,,5.0,150.0,20.0,,,,,,0.03125,0.10211426000899684
E02000559,Islington 006,,10.0,370.0,10.0,1.0,,,,,0.03125,0.09041835357624832
E02000556,Islington 003,,5.0,370.0,10.0,,,,,,0.03125,0.13562753036437247
E02000547,Hounslow 022,,5.0,150.0,20.0,,,,,,0.03125,0.10211426000899684
E02000966,Westminster 007,,5.0,1270.0,100.0,,,,,,0.03125,1.0
E02000954,Wandsworth 032,,5.0,275.0,20.0,,,,,,0.03125,0.15272154745838956
E02000052,Barnet 029,,5.0,270.0,10.0,,,,,,0.03125,0.0951417004048583
E02000046,Barnet 023,,5.0,270.0,10.0,,,,,,0.03125,0.0951417004048583
E02000854,Sutton 015,,5.0,95.0,10.0,,,,,,0.03125,0.024291497975708502
E02000084,Bexley 020,,5.0,110.0,20.0,,,,,,0.03125,0.08591992802519118
E02000082,Bexley 018,,5.0,110.0,20.0,,,,,,0.03125,0.08591992802519118
E02000081,Bexley 017,,5.0,110.0,20.0,,,,,,0.03125,0.08591992802519118
E02000080,Bexley 016,,5.0,110.0,20.0,,,,,,0.03125,0.08591992802519118
E02000079,Bexley 015,,10.0,110.0,20.0,,,,1.0,,0.03125,0.08591992802519118
E02000601,Kingston upon Thames 004,,5.0,120.0,10.0,,,,,,0.03125,0.03441295546558704
E02000609,Kingston upon Thames 012,,5.0,120.0,10.0,,,,,,0.03125,0.03441295546558704
E02000627,Lambeth 010,,5.0,295.0,15.0,,,,,,0.03125,0.13304093567251463
E02000567,Islington 014,,5.0,370.0,10.0,,,,,,0.03125,0.13562753036437247
E02000625,Lambeth 008,,5.0,295.0,15.0,,,,,,0.03125,0.13304093567251463
E02000914,Waltham Forest 020,,5.0,135.0,15.0,,,,,,0.03125,0.06826360773729195
E02000895,Waltham Forest 001,,5.0,135.0,15.0,,,,,,0.03125,0.06826360773729195
E02000234,Croydon 041,,5.0,205.0,25.0,,,,,,0.03125,0.15215924426450742
E02000238,Ealing 001,,5.0,190.0,20.0,,,,,,0.03125,0.11830859199280251
E02000500,Hillingdon 007,,5.0,165.0,20.0,,,,,,0.03125,0.10818713450292397
E02000502,Hillingdon 009,,5.0,165.0,20.0,,,,,,0.03125,0.10818713450292397
E02000896,Waltham Forest 002,,5.0,135.0,15.0,,,,,,0.03125,0.06826360773729195
E02000880,Tower Hamlets 017,,5.0,320.0,10.0,,,,,,0.03125,0.11538461538461539
E02000852,Sutton 013,,5.0,95.0,10.0,,,,,,0.03125,0.024291497975708502
E02000230,Croydon 037,,5.0,205.0,25.0,,,,,,0.03125,0.15215924426450742
E02000540,Hounslow 015,,5.0,150.0,20.0,,,,,,0.03125,0.10211426000899684
