msoa_code,msoa_name,nte_businesses_2017,pub_workplaces_2017,licensed_food_2017,clubs_2017,cim_nightlife_poi_count,cim_grassroots_music_count,cim_nightclub_count,cim_cultural_poi_count,cim_lgbt_venue_count,activity_index,support_index
E02000690,Merton 002,,5.0,120.0,10.0,,,,1.0,,0.015625,0.03441295546558704
E02000704,Merton 016,,5.0,120.0,10.0,1.0,,,,,0.015625,0.02294197031039136
E02000961,Westminster 002,,5.0,1270.0,100.0,1.0,,,,,0.015625,0.6666666666666666
E02000057,Barnet 034,,5.0,270.0,10.0,,,,1.0,,0.015625,0.0951417004048583
E02000957,Wandsworth 035,,5.0,275.0,20.0,1.0,1.0,,,,0.015625,0.07636077372919478
E02000660,Lewisham 008,,5.0,130.0,15.0,,,,1.0,,0.015625,0.06623931623931624
E02000024,Barnet 001,,5.0,270.0,10.0,,,,1.0,,0.015625,0.0951417004048583
E02000969,Westminster 010,,5.0,1270.0,100.0,1.0,1.0,,,,0.015625,0.5
E02000672,Lewisham 020,,5.0,130.0,15.0,1.0,,,,,0.015625,0.04415954415954416
E02000889,Tower Hamlets 026,,5.0,320.0,10.0,2.0,,1.0,1.0,,0.015388257575757576,0.08702408702408704
E02000568,Islington 015,,5.0,370.0,10.0,2.0,,1.0,1.0,,0.015388257575757576,0.1005193636772584
E02000685,Lewisham 033,,0.0,130.0,15.0,2.0,,,,,0.015151515151515152,0.05426055426055426
E02000431,Haringey 035,,0.0,175.0,10.0,2.0,1.0,,,,0.015151515151515152,0.03591583854741749
E02000658,Lewisham 006,,0.0,130.0,15.0,2.0,2.0,,,,0.015151515151515152,0.07640970140970141
E02000188,Camden 023,,5.0,600.0,20.0,1.0,,1.0,2.0,1.0,0.01252948113207547,0.14215024741340532
E02000592,Kensington and Chelsea 016,,5.0,400.0,20.0,1.0,,1.0,2.0,,0.01252948113207547,0.1355525566051882
E02000557,Islington 004,,5.0,370.0,10.0,1.0,1.0,,1.0,,0.010416666666666666,0.06781376518218624
E02000622,Lambeth 005,,5.0,295.0,15.0,1.0,,,1.0,,0.010416666666666666,0.08869395711500976
E02000911,Waltham Forest 017,,5.0,135.0,15.0,1.0,,1.0,,,0.010416666666666666,0.0455090718248613
E02000589,Kensington and Chelsea 013,,5.0,400.0,20.0,1.0,,1.0,,,0.010416666666666666,0.1355525566051882
E02000364,Hackney 020,,5.0,285.0,15.0,1.0,,1.0,,,0.010416666666666666,0.08599490178437547
E02000814,Southwark 008,,5.0,295.0,15.0,1.0,,1.0,,,0.010416666666666666,0.08869395711500976
E02000265,Ealing 028,,5.0,190.0,20.0,1.0,,1.0,,,0.010416666666666666,0.07887239466186834
E02000926,Wandsworth 004,,5.0,275.0,20.0,1.0,1.0,,1.0,,0.010416666666666666,0.07636077372919478
E02000252,Ealing 015,,5.0,190.0,20.0,1.0,,1.0,,,0.010416666666666666,0.07887239466186834
E02000882,Tower Hamlets 019,,5.0,320.0,10.0,1.0,,1.0,,1.0,0.010416666666666666,0.057692307692307696
E02000405,Haringey 009,,5.0,175.0,10.0,1.0,,,1.0,,0.010416666666666666,0.037786774628879895
E02000645,Lambeth 028,,5.0,295.0,15.0,1.0,,1.0,,,0.010416666666666666,0.08869395711500976
E02000144,Bromley 018,,5.0,200.0,20.0,1.0,,1.0,,,0.010416666666666666,0.08157144999250263
E02000946,Wandsworth 024,,5.0,275.0,20.0,1.0,1.0,,1.0,,0.010416666666666666,0.07636077372919478
E02000408,Haringey 012,,0.0,175.0,10.0,2.0,,1.0,,,0.010101010101010102,0.04788778472988999
E02000428,Haringey 032,,0.0,175.0,10.0,2.0,,1.0,,,0.010101010101010102,0.04788778472988999
E02000123,Brent 031,,0.0,190.0,15.0,2.0,,1.0,,,0.010101010101010102,0.07045488624435993
E02000794,Richmond upon Thames 011,,0.0,195.0,15.0,2.0,,,1.0,,0.010101010101010102,0.07180441390967707
E02000350,Hackney 006,,0.0,285.0,15.0,2.0,,1.0,,,0.010101010101010102,0.09609591188538558
E02000962,Westminster 003,,0.0,1270.0,100.0,,,,2.0,,0.009433962264150943,1.0
E02000730,Newham 017,,0.0,125.0,10.0,,,,2.0,,0.009433962264150943,0.03643724696356275
E02000983,Westminster 024,,0.0,1270.0,100.0,,,,2.0,,0.009433962264150943,1.0
E02000837,Southwark 031,,0.0,295.0,15.0,,,,2.0,,0.009433962264150943,0.13304093567251463
E02000935,Wandsworth 013,,0.0,275.0,20.0,,,,2.0,,0.009433962264150943,0.15272154745838956
E02000784,Richmond upon Thames 001,,5.0,195.0,15.0,1.0,,1.0,1.0,,0.0078125,0.061703403808666964
E02000876,Tower Hamlets 013,,5.0,320.0,10.0,1.0,,1.0,1.0,,0.0078125,0.07692307692307693
E02000268,Ealing 031,,5.0,190.0,20.0,1.0,,1.0,1.0,,0.0078125,0.07887239466186834
E02000175,Camden 010,,5.0,600.0,20.0,1.0,,1.0,1.0,,0.0078125,0.18953366321787377
E02000585,Kensington and Chelsea 009,,0.0,400.0,20.0,1.0,,,2.0,,0.006289308176100628,0.1355525566051882
E02000695,Merton 007,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000125,Brent 033,,0.0,190.0,15.0,1.0,1.0,,,,0.0,0.04526540710751237
E02000126,Brent 034,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000128,Bromley 002,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000127,Bromley 001,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000131,Bromley 005,,0.0,200.0,20.0,1.0,,,,,0.0,0.08157144999250263
E02000135,Bromley 009,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000691,Merton 003,,0.0,120.0,10.0,,,,1.0,,0.0,0.03441295546558704
E02000136,Bromley 010,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000103,Brent 011,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000662,Lewisham 010,,0.0,130.0,15.0,,,,1.0,,0.0,0.06623931623931624
E02000147,Bromley 021,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000117,Brent 025,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000118,Brent 026,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000119,Brent 027,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000088,Bexley 024,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000089,Bexley 025,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000789,Richmond upon Thames 006,,0.0,195.0,15.0,1.0,,,,,0.0,0.061703403808666964
E02000792,Richmond upon Thames 009,,0.0,195.0,15.0,1.0,,,1.0,,0.0,0.061703403808666964
E02000796,Richmond upon Thames 013,,0.0,195.0,15.0,,,,,,0.0,0.09255510571300045
E02000799,Richmond upon Thames 016,,0.0,195.0,15.0,,,,1.0,,0.0,0.09255510571300045
E02000146,Bromley 020,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000145,Bromley 019,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000800,Richmond upon Thames 017,,0.0,195.0,15.0,,,,,,0.0,0.09255510571300045
E02000763,Redbridge 013,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000765,Redbridge 015,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000782,Redbridge 032,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000663,Lewisham 011,,0.0,130.0,15.0,,,,,,0.0,0.06623931623931624
E02000746,Newham 033,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000745,Newham 032,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000783,Redbridge 033,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000104,Brent 012,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000781,Redbridge 031,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000140,Bromley 014,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000767,Redbridge 017,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000779,Redbridge 029,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000777,Redbridge 027,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000776,Redbridge 026,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000142,Bromley 016,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000774,Redbridge 024,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000773,Redbridge 023,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000772,Redbridge 022,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000768,Redbridge 018,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000141,Bromley 015,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000116,Brent 024,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000706,Merton 018,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000705,Merton 017,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000740,Newham 027,,0.0,125.0,10.0,1.0,,,,,0.0,0.0242914979757085
E02000741,Newham 028,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000703,Merton 015,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000702,Merton 014,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000742,Newham 029,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000712,Merton 024,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000713,Merton 025,,0.0,120.0,10.0,,,,1.0,,0.0,0.03441295546558704
E02000714,Newham 001,,0.0,125.0,10.0,1.0,,,,,0.0,0.0242914979757085
E02000701,Merton 013,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000700,Merton 012,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000683,Lewisham 031,,0.0,130.0,15.0,,,,,,0.0,0.06623931623931624
E02000715,Newham 002,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000698,Merton 010,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000696,Merton 008,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000716,Newham 003,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000717,Newham 004,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000728,Newham 015,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000718,Newham 005,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000719,Newham 006,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000727,Newham 014,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000720,Newham 007,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000721,Newham 008,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000724,Newham 011,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000722,Newham 009,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000723,Newham 010,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000699,Merton 011,,0.0,120.0,10.0,,,,1.0,,0.0,0.03441295546558704
E02000105,Brent 013,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000748,Newham 035,,0.0,125.0,10.0,,,,1.0,,0.0,0.03643724696356275
E02000749,Newham 036,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000752,Redbridge 002,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000753,Redbridge 003,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000754,Redbridge 004,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000755,Redbridge 005,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000689,Merton 001,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000687,Lewisham 035,,0.0,130.0,15.0,,,,,,0.0,0.06623931623931624
E02000686,Lewisham 034,,0.0,130.0,15.0,,,,,,0.0,0.06623931623931624
E02000758,Redbridge 008,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000760,Redbridge 010,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000762,Redbridge 012,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000707,Merton 019,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000682,Lewisham 030,,0.0,130.0,15.0,,,,,,0.0,0.06623931623931624
E02000680,Lewisham 028,,0.0,130.0,15.0,,,,,,0.0,0.06623931623931624
E02000732,Newham 019,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000678,Lewisham 026,,0.0,130.0,15.0,,,,,,0.0,0.06623931623931624
E02000733,Newham 020,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000734,Newham 021,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000735,Newham 022,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000711,Merton 023,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000737,Newham 024,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000738,Newham 025,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000710,Merton 022,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000709,Merton 021,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000739,Newham 026,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000708,Merton 020,,0.0,120.0,10.0,,,,,,0.0,0.03441295546558704
E02000729,Newham 016,,0.0,125.0,10.0,,,,,,0.0,0.03643724696356275
E02000065,Bexley 001,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000064,Barnet 041,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000063,Barnet 040,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000062,Barnet 039,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000061,Barnet 038,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000060,Barnet 037,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000058,Barnet 035,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000920,Waltham Forest 026,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000821,Southwark 015,,0.0,295.0,15.0,1.0,,,,,0.0,0.08869395711500976
E02000950,Wandsworth 028,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000948,Wandsworth 026,,0.0,275.0,20.0,1.0,1.0,,,,0.0,0.07636077372919478
E02000944,Wandsworth 022,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000942,Wandsworth 020,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000941,Wandsworth 019,,0.0,275.0,20.0,,,,1.0,,0.0,0.15272154745838956
E02000939,Wandsworth 017,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000938,Wandsworth 016,,0.0,275.0,20.0,,,,1.0,,0.0,0.15272154745838956
E02000936,Wandsworth 014,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000965,Westminster 006,,0.0,1270.0,100.0,,,,,,0.0,1.0
E02000919,Waltham Forest 025,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000913,Waltham Forest 019,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000912,Waltham Forest 018,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000910,Waltham Forest 016,,0.0,135.0,15.0,,,,1.0,,0.0,0.06826360773729195
E02000909,Waltham Forest 015,,0.0,135.0,15.0,1.0,,1.0,,,0.0,0.0455090718248613
E02000908,Waltham Forest 014,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000905,Waltham Forest 011,,0.0,135.0,15.0,1.0,1.0,,1.0,,0.0,0.03413180386864598
E02000904,Waltham Forest 010,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000903,Waltham Forest 009,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000902,Waltham Forest 008,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000066,Bexley 002,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000931,Wandsworth 009,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000929,Wandsworth 007,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000927,Wandsworth 005,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000922,Waltham Forest 028,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000921,Waltham Forest 027,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000039,Barnet 016,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000038,Barnet 015,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000037,Barnet 014,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000069,Bexley 005,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000933,Wandsworth 011,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02006921,Hackney 029,,0.0,285.0,15.0,,,,,,0.0,0.1289923526765632
E02006853,Tower Hamlets 032,,0.0,320.0,10.0,,,,,,0.0,0.11538461538461539
E02000007,Barking and Dagenham 006,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000005,Barking and Dagenham 004,,0.0,35.0,10.0,,,,,,0.0,0.0
E02006800,Redbridge 034,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000032,Barnet 009,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02006799,Barking and Dagenham 023,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000020,Barking and Dagenham 019,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000019,Barking and Dagenham 018,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000964,Westminster 005,,0.0,1270.0,100.0,,,,1.0,,0.0,1.0
E02000017,Barking and Dagenham 016,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000015,Barking and Dagenham 014,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000014,Barking and Dagenham 013,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000013,Barking and Dagenham 012,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000012,Barking and Dagenham 011,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000011,Barking and Dagenham 010,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000010,Barking and Dagenham 009,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000009,Barking and Dagenham 008,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000008,Barking and Dagenham 007,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000018,Barking and Dagenham 017,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000963,Westminster 004,,0.0,1270.0,100.0,,,,,,0.0,1.0
E02000960,Westminster 001,,0.0,1270.0,100.0,,,,1.0,,0.0,1.0
E02000959,Wandsworth 037,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000958,Wandsworth 036,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000955,Wandsworth 033,,0.0,275.0,20.0,,,,,,0.0,0.15272154745838956
E02000023,Barking and Dagenham 022,,0.0,35.0,10.0,,,,1.0,,0.0,0.0
E02000022,Barking and Dagenham 021,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000021,Barking and Dagenham 020,,0.0,35.0,10.0,,,,,,0.0,0.0
E02000050,Barnet 027,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02006924,Redbridge 035,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000048,Barnet 025,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000047,Barnet 024,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000272,Ealing 035,,0.0,190.0,20.0,,,,,,0.0,0.11830859199280251
E02000028,Barnet 005,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000027,Barnet 004,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000026,Barnet 003,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000003,Barking and Dagenham 002,,0.0,35.0,10.0,,,,,,0.0,0.0
E02006927,Greenwich 034,,0.0,145.0,15.0,,,,,,0.0,0.07231219073324335
E02006925,Redbridge 036,,0.0,130.0,10.0,,,,,,0.0,0.038461538461538464
E02000049,Barnet 026,,0.0,270.0,10.0,,,,,,0.0,0.0951417004048583
E02000092,Bexley 028,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000091,Bexley 027,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000803,Richmond upon Thames 020,,0.0,195.0,15.0,,,,,,0.0,0.09255510571300045
E02000833,Southwark 027,,0.0,295.0,15.0,,,,1.0,,0.0,0.13304093567251463
E02000826,Southwark 020,,0.0,295.0,15.0,,,,,,0.0,0.13304093567251463
E02000825,Southwark 019,,0.0,295.0,15.0,,,,,,0.0,0.13304093567251463
E02000823,Southwark 017,,0.0,295.0,15.0,,,,,,0.0,0.13304093567251463
E02000822,Southwark 016,,0.0,295.0,15.0,,,,,,0.0,0.13304093567251463
E02000915,Waltham Forest 021,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000820,Southwark 014,,0.0,295.0,15.0,,,,,,0.0,0.13304093567251463
E02000819,Southwark 013,,0.0,295.0,15.0,,,,,,0.0,0.13304093567251463
E02000850,Sutton 011,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000848,Sutton 009,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000846,Sutton 007,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000844,Sutton 005,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000843,Sutton 004,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000842,Sutton 003,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000841,Sutton 002,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000149,Bromley 023,,0.0,200.0,20.0,,,,,,0.0,0.12235717498875394
E02000115,Brent 023,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000113,Brent 021,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000111,Brent 019,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000110,Brent 018,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000108,Brent 016,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000107,Brent 015,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000106,Brent 014,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000787,Richmond upon Thames 004,,0.0,195.0,15.0,,,,,,0.0,0.09255510571300045
E02000818,Southwark 012,,0.0,295.0,15.0,,,,,,0.0,0.13304093567251463
E02000095,Brent 003,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000816,Southwark 010,,0.0,295.0,15.0,1.0,1.0,,,,0.0,0.06652046783625731
E02000807,Southwark 001,,0.0,295.0,15.0,,,,,,0.0,0.13304093567251463
E02000072,Bexley 008,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000102,Brent 010,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000101,Brent 009,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000100,Brent 008,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000099,Brent 007,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000098,Brent 006,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000096,Brent 004,,0.0,190.0,15.0,,,,,,0.0,0.09053081421502474
E02000817,Southwark 011,,0.0,295.0,15.0,,,,,,0.0,0.13304093567251463
E02000881,Tower Hamlets 018,,0.0,320.0,10.0,,,,,,0.0,0.11538461538461539
E02000879,Tower Hamlets 016,,0.0,320.0,10.0,,,,,,0.0,0.11538461538461539
E02000877,Tower Hamlets 014,,0.0,320.0,10.0,,,,,,0.0,0.11538461538461539
E02000875,Tower Hamlets 012,,0.0,320.0,10.0,1.0,1.0,,,,0.0,0.057692307692307696
E02000874,Tower Hamlets 011,,0.0,320.0,10.0,,,,,,0.0,0.11538461538461539
E02000871,Tower Hamlets 008,,0.0,320.0,10.0,1.0,1.0,,,,0.0,0.057692307692307696
E02000870,Tower Hamlets 007,,0.0,320.0,10.0,,,,1.0,,0.0,0.11538461538461539
E02000901,Waltham Forest 007,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000900,Waltham Forest 006,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000840,Sutton 001,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000898,Waltham Forest 004,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000897,Waltham Forest 003,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000894,Tower Hamlets 031,,0.0,320.0,10.0,,,,,,0.0,0.11538461538461539
E02000893,Tower Hamlets 030,,0.0,320.0,10.0,,,,,,0.0,0.11538461538461539
E02000888,Tower Hamlets 025,,0.0,320.0,10.0,,,,,1.0,0.0,0.07692307692307693
E02000887,Tower Hamlets 024,,0.0,320.0,10.0,,,,,,0.0,0.11538461538461539
E02000885,Tower Hamlets 022,,0.0,320.0,10.0,1.0,1.0,,,,0.0,0.057692307692307696
E02000917,Waltham Forest 023,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000916,Waltham Forest 022,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000899,Waltham Forest 005,,0.0,135.0,15.0,,,,,,0.0,0.06826360773729195
E02000835,Southwark 029,,0.0,295.0,15.0,1.0,,,,,0.0,0.08869395711500976
E02000863,Sutton 024,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000861,Sutton 022,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000860,Sutton 021,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000859,Sutton 020,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000858,Sutton 019,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000857,Sutton 018,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000856,Sutton 017,,0.0,95.0,10.0,,,,,,0.0,0.024291497975708502
E02000056,Barnet 033,,0.0,270.0,10.0,,,,1.0,,0.0,0.0951417004048583
E02000883,Tower Hamlets 020,,0.0,320.0,10.0,,,,,,0.0,0.11538461538461539
E02000054,Barnet 031,,0.0,270.0,10.0,,,,1.0,,0.0,0.0951417004048583
E02000086,Bexley 022,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000085,Bexley 021,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000078,Bexley 014,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000077,Bexley 013,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000075,Bexley 011,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000074,Bexley 010,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000073,Bexley 009,,0.0,110.0,20.0,,,,,,0.0,0.08591992802519118
E02000853,Sutton 014,,0.0,95.0,10.0,1.0,1.0,1.0,,,0.0,0.012145748987854251
E02000055,Barnet 032,,0.0,270.0,10.0,,,,1.0,,0.0,0.0951417004048583
